"model","type","cindex"
"Cox-PH(gene)","test","0.630044843049327"
"Cox-PH(gene)","test","0.594117647058824"
"Cox-PH(gene)","test","0.580118694362018"
"Cox-PH(gene)","test","0.606469002695418"
"Cox-PH(gene)","test","0.751004016064257"
"Cox-PH(gene)","test","0.659504132231405"
"Cox-PH(gene)","test","0.599616858237548"
"Cox-PH(gene)","test","0.718137254901961"
"Cox-PH(gene)","test","0.649769585253456"
"Cox-PH(gene)","test","0.638586956521739"
"Cox-PH(image)","test","0.773542600896861"
"Cox-PH(image)","test","0.729411764705882"
"Cox-PH(image)","test","0.590504451038576"
"Cox-PH(image)","test","0.719676549865229"
"Cox-PH(image)","test","0.626506024096386"
"Cox-PH(image)","test","0.720661157024793"
"Cox-PH(image)","test","0.704980842911877"
"Cox-PH(image)","test","0.725490196078431"
"Cox-PH(image)","test","0.732718894009217"
"Cox-PH(image)","test","0.801630434782609"
"Cox-nnet(image)","test","0.757847533632287"
"Cox-nnet(image)","test","0.741176470588235"
"Cox-nnet(image)","test","0.688427299703264"
"Cox-nnet(image)","test","0.776280323450135"
"Cox-nnet(image)","test","0.72289156626506"
"Cox-nnet(image)","test","0.712396694214876"
"Cox-nnet(image)","test","0.754789272030651"
"Cox-nnet(image)","test","0.774509803921569"
"Cox-nnet(image)","test","0.774193548387097"
"Cox-nnet(image)","test","0.78804347826087"
"Cox-nnet(Gene)","test","0.605381165919282"
"Cox-nnet(Gene)","test","0.682352941176471"
"Cox-nnet(Gene)","test","0.667655786350148"
"Cox-nnet(Gene)","test","0.743935309973046"
"Cox-nnet(Gene)","test","0.827309236947791"
"Cox-nnet(Gene)","test","0.672727272727273"
"Cox-nnet(Gene)","test","0.636015325670498"
"Cox-nnet(Gene)","test","0.79656862745098"
"Cox-nnet(Gene)","test","0.709677419354839"
"Cox-nnet(Gene)","test","0.622282608695652"
"Cox-nnet(image+Gene)","test","0.789237668161435"
"Cox-nnet(image+Gene)","test","0.720588235294118"
"Cox-nnet(image+Gene)","test","0.70919881305638"
"Cox-nnet(image+Gene)","test","0.778975741239892"
"Cox-nnet(image+Gene)","test","0.805220883534137"
"Cox-nnet(image+Gene)","test","0.72396694214876"
"Cox-nnet(image+Gene)","test","0.735632183908046"
"Cox-nnet(image+Gene)","test","0.833333333333333"
"Cox-nnet(image+Gene)","test","0.792626728110599"
"Cox-nnet(image+Gene)","test","0.798913043478261"
"Cox-PH(gene)","train","0.846304135460762"
"Cox-PH(gene)","train","0.887326096927075"
"Cox-PH(gene)","train","0.840579710144927"
"Cox-PH(gene)","train","0.870162297128589"
"Cox-PH(gene)","train","0.864887976740209"
"Cox-PH(gene)","train","0.842209785159776"
"Cox-PH(gene)","train","0.813324199349204"
"Cox-PH(gene)","train","0.82208393170576"
"Cox-PH(gene)","train","0.863345895461249"
"Cox-PH(gene)","train","0.827024511324853"
"Cox-PH(image)","train","0.831162487788994"
"Cox-PH(image)","train","0.815165876777251"
"Cox-PH(image)","train","0.813119755911518"
"Cox-PH(image)","train","0.830680399500624"
"Cox-PH(image)","train","0.819394561313494"
"Cox-PH(image)","train","0.84582054522477"
"Cox-PH(image)","train","0.835588285665354"
"Cox-PH(image)","train","0.744694431147279"
"Cox-PH(image)","train","0.845485826642635"
"Cox-PH(image)","train","0.812131554452374"
"Cox-nnet(image)","train","0.84923477694562"
"Cox-nnet(image)","train","0.835040513682923"
"Cox-nnet(image)","train","0.851067887109077"
"Cox-nnet(image)","train","0.826310861423221"
"Cox-nnet(image)","train","0.848127244740893"
"Cox-nnet(image)","train","0.836071493049287"
"Cox-nnet(image)","train","0.824970029114574"
"Cox-nnet(image)","train","0.779639380883996"
"Cox-nnet(image)","train","0.829264296247747"
"Cox-nnet(image)","train","0.829972075705864"
"Cox-nnet(Gene)","train","0.781830022793878"
"Cox-nnet(Gene)","train","0.845742241247516"
"Cox-nnet(Gene)","train","0.826849733028223"
"Cox-nnet(Gene)","train","0.835049937578027"
"Cox-nnet(Gene)","train","0.806054386865059"
"Cox-nnet(Gene)","train","0.808810254558585"
"Cox-nnet(Gene)","train","0.819489638636753"
"Cox-nnet(Gene)","train","0.794798149034626"
"Cox-nnet(Gene)","train","0.77912502048173"
"Cox-nnet(Gene)","train","0.809494260006205"
"Cox-nnet(image+Gene)","train","0.896939107782481"
"Cox-nnet(image+Gene)","train","0.895275951689344"
"Cox-nnet(image+Gene)","train","0.897025171624714"
"Cox-nnet(image+Gene)","train","0.891385767790262"
"Cox-nnet(image+Gene)","train","0.879425346331452"
"Cox-nnet(image+Gene)","train","0.883733525907203"
"Cox-nnet(image+Gene)","train","0.874122281212536"
"Cox-nnet(image+Gene)","train","0.887186851763204"
"Cox-nnet(image+Gene)","train","0.90938882516795"
"Cox-nnet(image+Gene)","train","0.892646602544213"
